model,normalization,seed,target,prediction,residual,plotted_y,test_mae,test_rmse,test_r2,test_pearson
EvolveGCN-H,none,2025,0.2809999883174896,0.2321113795042038,-0.04888860881328583,-0.04888860881328583,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.4262000024318695,0.4881002902984619,0.06190028786659241,0.06190028786659241,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.11299999803304672,0.13311704993247986,0.020117051899433136,0.020117051899433136,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.4214000105857849,0.3481510877609253,-0.07324892282485962,-0.07324892282485962,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.1534000039100647,0.3208337426185608,0.1674337387084961,0.1674337387084961,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.17219999432563782,0.3024812638759613,0.1302812695503235,0.1302812695503235,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.13300000131130219,0.16276848316192627,0.029768481850624084,0.029768481850624084,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.14900000393390656,0.1689193844795227,0.01991938054561615,0.01991938054561615,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.43380001187324524,0.3865708112716675,-0.04722920060157776,-0.04722920060157776,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.16300000250339508,0.2567860186100006,0.09378601610660553,0.09378601610660553,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.11779999732971191,0.21309514343738556,0.09529514610767365,0.09529514610767365,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.21060000360012054,0.24410685896873474,0.0335068553686142,0.0335068553686142,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.3790000081062317,0.29157060384750366,-0.08742940425872803,-0.08742940425872803,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.2614000141620636,0.39061081409454346,0.12921079993247986,0.12921079993247986,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.2962000072002411,0.3268049359321594,0.030604928731918335,0.030604928731918335,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.28619998693466187,0.2480078935623169,-0.03819209337234497,-0.03819209337234497,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.4174000024795532,0.5120717287063599,0.09467172622680664,0.09467172622680664,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.241799995303154,0.2863679528236389,0.044567957520484924,0.044567957520484924,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.45980000495910645,0.38301217555999756,-0.07678782939910889,-0.07678782939910889,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.4781999886035919,0.32827314734458923,-0.14992684125900269,-0.14992684125900269,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.16580000519752502,0.17283405363559723,0.007034048438072205,0.007034048438072205,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.19220000505447388,0.3542746305465698,0.16207462549209595,0.16207462549209595,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
EvolveGCN-H,none,2025,0.39419999718666077,0.2754337787628174,-0.11876621842384338,-0.11876621842384338,0.06244542827208837,0.07687516919324365,0.5836670755935719,0.7855033519420392
