model,factorial_cell,seed,target,prediction,residual,plotted_y,test_mae,test_rmse,test_r2,test_pearson
EvolveGCN-H,h32_k4,123,0.11020000278949738,0.29995664954185486,0.18975664675235748,0.18975664675235748,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.2766000032424927,0.27213507890701294,-0.004464924335479736,-0.004464924335479736,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.4758000075817108,0.2995128631591797,-0.17628714442253113,-0.17628714442253113,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.17579999566078186,0.29293692111968994,0.11713692545890808,0.11713692545890808,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.4918000102043152,0.2774334251880646,-0.2143665850162506,-0.2143665850162506,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.12020000070333481,0.3036711513996124,0.18347115069627762,0.18347115069627762,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.3601999878883362,0.2905076742172241,-0.06969231367111206,-0.06969231367111206,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.29820001125335693,0.2830312252044678,-0.01516878604888916,-0.01516878604888916,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.20739999413490295,0.3030335009098053,0.09563350677490234,0.09563350677490234,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.3529999852180481,0.2884998321533203,-0.06450015306472778,-0.06450015306472778,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.15060000121593475,0.2928907871246338,0.14229078590869904,0.14229078590869904,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.10859999805688858,0.29562920331954956,0.18702920526266098,0.18702920526266098,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.4625999927520752,0.28351789712905884,-0.17908209562301636,-0.17908209562301636,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.2754000127315521,0.2884370982646942,0.01303708553314209,0.01303708553314209,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.19419999420642853,0.30627983808517456,0.11207984387874603,0.11207984387874603,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.40779998898506165,0.298012375831604,-0.10978761315345764,-0.10978761315345764,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.11940000206232071,0.2942411005496979,0.17484109848737717,0.17484109848737717,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.38499999046325684,0.2873522639274597,-0.09764772653579712,-0.09764772653579712,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.16699999570846558,0.29454144835472107,0.1275414526462555,0.1275414526462555,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.27619999647140503,0.30577147006988525,0.029571473598480225,0.029571473598480225,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
EvolveGCN-H,h32_k4,123,0.4578000009059906,0.2878521978855133,-0.1699478030204773,-0.1699478030204773,0.0975723499059677,0.11518685155360059,-0.02486996102740413,-0.10346089350968064
